gene_id	ERR337909	ERR337922	ERR337912	ERR337925	ERR337961	ERR337973	ERR337937	ERR337949
EgrG_000093700	4936	4184	2263	1869	4681	4311	3507	3506
EgrG_000093800	256	189	220	170	112	111	334	324
EgrG_000093900	1052	856	1222	1001	707	706	894	919
EgrG_000094000	863	755	584	449	703	644	958	935
EgrG_000094100	6	2	2	2	3	1	0	4
EgrG_000094200	1770	1573	850	749	1527	1351	1340	1395
EgrG_000094300	9089	7708	4089	3536	9114	8437	6310	6663
EgrG_000094400	233	206	116	100	176	176	231	241
EgrG_000094500	50	46	47	39	105	79	89	103
EgrG_000094600	3675	3185	2392	2010	3101	2870	3397	3678
EgrG_000094700	837	714	439	371	616	575	700	743
EgrG_000094800	822	702	608	512	734	677	636	685
EgrG_000094900	352	317	350	315	276	301	391	382
EgrG_000094950	267	190	207	218	272	238	264	278
EgrG_000095000	1149	998	914	832	854	749	1023	1072
EgrG_000095100	536	431	492	472	448	456	607	639
EgrG_000095150	240	189	285	234	249	256	401	430
EgrG_000095200	127	96	224	151	149	144	112	117
EgrG_000095300	960	817	593	501	745	683	896	1027
EgrG_000095400	149	109	138	139	240	210	238	285
EgrG_000095500	1151	969	644	558	912	880	926	1017
EgrG_000095700	850	708	424	388	590	479	718	705
EgrG_000095800	65	84	45	34	47	33	88	65
EgrG_000095850	34	31	17	22	14	26	22	38
EgrG_000095900	674	590	562	453	256	235	575	605
EgrG_000096000	301	260	119	130	251	242	237	278
EgrG_000096100	1781	1535	1226	1095	1522	1400	1756	1853
EgrG_000096200	11	12	13	12	18	14	5	11
EgrG_000096300	674	553	507	436	519	476	607	634
EgrG_000096400	5	4	2	4	3	2	7	3
EgrG_000096500	0	2	3	4	1	1	2	3
EgrG_000096600	10464	9055	7180	6312	4142	3879	4916	5187
EgrG_000096700	166	112	108	81	132	106	81	89
EgrG_000096800	10	8	5	10	15	18	13	23
EgrG_000096900	1110	1025	488	430	1365	1228	797	828
EgrG_000097000	324	244	364	320	494	479	293	319
EgrG_000097100	0	0	0	0	0	0	0	0
EgrG_000097200	301	252	119	115	209	206	211	182
EgrG_000097300	4824	4093	4512	3992	5753	5309	4236	4323
EgrG_000097400	62	49	47	19	101	88	81	79
EgrG_000097500	8	5	11	12	14	17	15	19
EgrG_000097600	360	286	465	321	267	242	306	321
EgrG_000097700	162	135	141	136	183	194	253	239
EgrG_000097800	2023	1718	954	882	3029	2817	1354	1345
EgrG_000097900	236	208	241	208	191	195	322	324
EgrG_000098000	44	25	26	15	49	47	40	35
EgrG_000098100	869	760	1105	934	464	442	793	911
EgrG_000098200	0	0	0	1	1	0	0	0
EgrG_000098300	0	1	0	0	0	0	0	0
EgrG_000098400	2382	2068	1900	1586	3737	3423	2743	2911
EgrG_000098600	39	28	8	10	20	19	19	21
EgrG_000098700	140	129	102	83	105	98	179	178
EgrG_000098800	233	201	188	161	158	97	196	208
EgrG_000098900	126	110	80	60	72	78	131	135
EgrG_000099000	354	314	307	260	428	405	518	530
EgrG_000099100	226	238	177	165	202	179	249	277
EgrG_000099200	557	465	216	205	288	255	391	407
EgrG_000099300	1196	1113	1047	913	1397	1301	1787	1859
EgrG_000099400	1374	1133	1989	1605	1051	961	1487	1537
EgrG_000099500	139	107	156	125	187	171	316	320
EgrG_000099600	1	2	0	0	0	0	2	0
EgrG_000099700	2518	2105	1268	1049	1327	1206	1566	1683
EgrG_000099800	2359	1886	2363	2020	2235	1953	3320	3410
EgrG_000099900	529	437	483	397	433	440	704	639
EgrG_000100000	318	282	272	204	493	438	456	520
EgrG_000100100	1599	1257	1526	1300	1390	1281	1664	1644
