""	"logFC"	"logCPM"	"F"	"PValue"	"FDR"
"EgrG_000708700"	0.77446311728335	8.50053733809253	15.436723056796	0.0068456114050242	0.0294863146259974
"EgrG_000610900"	0.755298115664294	6.39748821991976	15.4356113785072	0.00684677508406587	0.0294863146259974
"EgrG_000842400"	1.33436973553559	8.11891417571769	15.4245209786822	0.00685839853949845	0.0295213867118746
"EgrG_000256600"	-0.443682582673473	5.01468411574041	15.3906317937175	0.00689407809103835	0.029659918115806
"EgrG_001179600"	0.505050861395122	7.50012862904556	15.3841563733193	0.00690092341944741	0.0296743204716634
"EgrG_001102400"	0.583220205242917	7.71739821491335	15.3721185875567	0.00691367267986524	0.0297140825815485
"EgrG_001034810"	0.326081555673891	6.63771854937664	15.3610943364316	0.00692537574033436	0.029739512436084
"EgrG_000097900"	0.3582980554421	5.16992046702407	15.3599422643913	0.00692660025621193	0.029739512436084
"EgrG_000075400"	-0.513991976730425	4.896670594284	15.3451718320064	0.0069423247775597	0.0297919491213032
"EgrG_000622600"	1.39725112646973	4.31787340808271	15.3362625133509	0.00695183233592763	0.029817667107184
"EgrG_000997400"	0.548631549554062	5.3385181001164	15.3191154913912	0.00697017907730318	0.0298812528003235
"EgrG_000194800"	0.458798931181335	6.7630479718564	15.3088234085875	0.00698122190883993	0.0299101580880159
"EgrG_000834700"	0.311222608331609	6.72474408603001	15.3022606731361	0.00698827539638863	0.0299101580880159
"EgrG_000592000"	-0.7424508311258	7.06627876938266	15.3022575485188	0.00698827875689631	0.0299101580880159
"EgrG_000600700"	1.06833797779225	7.00453769676704	15.299706120679	0.00699102351350018	0.0299101580880159
"EgrG_000078800"	-1.35782818267067	8.40913134749688	15.2912058967171	0.00700017807841609	0.0299269979485351
"EgrG_000214500"	1.01748669285055	1.53234798687166	15.2895025106123	0.00700201448937318	0.0299269979485351
"EgrG_000462800"	-0.369968410817623	7.01418296644898	15.2802534894114	0.0070119968955799	0.0299400317589366
"EgrG_000799500"	-0.481358583591507	8.92131180403666	15.2801376800048	0.00701212200671937	0.0299400317589366
"EgrG_000874400"	0.807459243700582	7.00456169153212	15.2515601748785	0.00704308496710923	0.0300571090849873
"EgrG_000719150"	0.754710811883351	5.00030928958003	15.2239037305797	0.00707322174118759	0.0301705446215362
"EgrG_000904400"	0.622397754669729	5.02136112241185	15.2075901358559	0.00709107810263281	0.0302315108656969
"EgrG_000317300"	0.366621971730022	5.85726833857688	15.2018180003769	0.00709741033026279	0.0302433095137868
"EgrG_001122300"	1.42930164366313	1.3785947106779	15.1949902982692	0.00710491017285656	0.0302600692301783
"EgrG_001169200"	0.512446297014391	6.35156280045233	15.1790597762368	0.00712244959677192	0.0302944439177463
"EgrG_000193800"	-0.518679476210137	7.52238168479347	15.1785346998565	0.00712302867392386	0.0302944439177463
"EgrG_001145300"	-0.444804409757672	6.75509208754321	15.17496862147	0.00712696314266528	0.0302944439177463
"EgrG_001034100"	1.07358872631291	8.43131511154994	15.1746957967514	0.0071272642691916	0.0302944439177463
"EgrG_000584200"	0.935492917214051	1.63928745786956	15.1584958913843	0.00714517478480945	0.0303553644838875
"EgrG_000854400"	0.543621427795462	5.90167823144103	15.1462935569495	0.00715870478828896	0.0303798380946357
"EgrG_000513900"	-0.341552621497507	6.65800684972359	15.144806694118	0.00716035573519939	0.0303798380946357
"EgrG_000805300"	0.977186695102616	7.56036185956453	15.1436161681724	0.00716167800439314	0.0303798380946357
"EgrG_001094500"	-0.677377742864976	5.3652382136739	15.13725844904	0.00716874471647674	0.0303888683866136
"EgrG_001173100"	-0.547247917719963	4.21913701004615	15.1346960723716	0.0071715954391697	0.0303888683866136
"EgrG_000145500"	0.741189337706654	6.69375872594726	15.1320395346051	0.00717455249627381	0.0303888683866136
"EgrG_001128000"	-0.568911680739768	6.94579620160109	15.1254575861909	0.00718188594869559	0.0304047506929808
"EgrG_001042700"	0.452241711720825	7.72429304290736	15.1039258449135	0.00720594522596955	0.0304913911706363
"EgrG_000952700"	0.526778487512201	5.08037260530243	15.0993089084865	0.00721111795119336	0.0304980681445286
"EgrG_000427400"	0.811664640523278	7.99827999703303	15.0698059055891	0.00724428834030325	0.0306080246466582
"EgrG_000389100"	-0.413785779130958	7.73798214765333	15.0697671064857	0.0072443320945886	0.0306080246466582
"EgrG_000097500"	1.18049767320575	0.928008182871869	15.0526799849832	0.00726363537343211	0.0306743068731697
"EgrG_001158000"	-0.621802832865698	7.4015095928577	15.0450596366087	0.00727226591649911	0.0306954746445664
"EgrG_000721500"	0.488361981571586	5.84703762170347	15.0336696480852	0.0072851910341764	0.0307347393008218
"EgrG_000649800"	1.24717659449824	3.20468244191923	15.016316049982	0.00730494178610155	0.0308027465771797
"EgrG_001024200"	-0.449489372248781	6.09668044749832	15.0041728160324	0.00731880441519656	0.0308458701731384
"EgrG_001080600"	0.54273231187757	6.08187611600475	14.9931239662117	0.00733144783903515	0.0308838150279912
"EgrG_000660500"	-0.844461513166045	9.00983019645052	14.9890935171738	0.00733606712816563	0.0308879372284651
"EgrG_000406500"	-0.56389711038589	3.51315316380629	14.9859095051767	0.00733971902959131	0.0308879842495301
"EgrG_000828100"	-0.811097149598176	2.10475014264673	14.9730223838237	0.00735452440278115	0.0309349454800175
"EgrG_000143700"	0.915023120565557	8.65527340135198	14.9409687891443	0.00739152024871518	0.0310670503809209
"EgrG_000114000"	-0.405895868519434	7.81510399458829	14.9394710445771	0.00739325491738323	0.0310670503809209
"EgrG_001056800"	0.700996009322943	7.21347347464328	14.9358926218782	0.00739740157349977	0.031069086608699
"EgrG_000208420"	0.877996515429338	6.70592166684466	14.9308187762038	0.00740328637253989	0.0310784174095143
"EgrG_001042400"	-0.405497497879856	6.91801631201009	14.9163143107402	0.00742014314954523	0.0311337757075874
"EgrG_000040800"	0.788880243950813	6.55386401888524	14.8881969682031	0.00745296485065598	0.0312560325224742
"EgrG_000090100"	-0.745333513719739	6.38427952523583	14.8556436064718	0.00749120417230928	0.0314008775681185
"EgrG_000356900"	0.948734326600605	2.04910846029301	14.8404181198848	0.00750917778574544	0.0314606737453157
"EgrG_000448200"	1.27855663980886	8.17486851806531	14.8054192787394	0.00755070974280402	0.0316067972374817
"EgrG_000493100"	0.323240771151166	6.60295850622703	14.8047506468737	0.00755150612922859	0.0316067972374817
"EgrG_000062700"	0.55745151099292	6.1841831277011	14.8000223442149	0.00755714102244899	0.0316147852240913
"EgrG_001126900"	-0.539741079529583	5.12956318414325	14.7784202246188	0.0075829556748723	0.0317063598044711
"EgrG_000505600"	-0.487080187609058	4.43683270150135	14.775457475552	0.0075865052337431	0.0317063598044711
"EgrG_001096900"	-0.542372458799169	5.7742583242753	14.7646154172617	0.007599513381919	0.0317450869188581
"EgrG_001061400"	0.623431806833886	5.04619386712297	14.7558045287442	0.00761010621903841	0.0317736915168907
"EgrG_000786600"	1.48692049983042	8.25162061940243	14.7496623844094	0.00761750208750844	0.0317889265668576
