gene_id	ERR337909	ERR337922	ERR337912	ERR337925	ERR337937	ERR337949
EgrG_000092800	1312	1152	1012	853	1716	1676
EgrG_000092900	1080	940	1269	1189	1016	1022
EgrG_000093000	30	17	16	11	20	20
EgrG_000093200	489	398	256	237	553	543
EgrG_000093300	242	196	237	210	231	233
EgrG_000093400	63	59	52	38	106	111
EgrG_000093500	3	3	5	3	14	10
EgrG_000093700	4936	4184	2263	1869	3507	3506
EgrG_000093800	256	189	220	170	334	324
EgrG_000093900	1052	856	1222	1001	894	919
EgrG_000094000	863	755	584	449	958	935
EgrG_000094100	6	2	2	2	0	4
EgrG_000094200	1770	1573	850	749	1340	1395
EgrG_000094300	9089	7708	4089	3536	6310	6663
EgrG_000094400	233	206	116	100	231	241
EgrG_000094500	50	46	47	39	89	103
EgrG_000094600	3675	3185	2392	2010	3397	3678
EgrG_000094700	837	714	439	371	700	743
EgrG_000094800	822	702	608	512	636	685
EgrG_000094900	352	317	350	315	391	382
EgrG_000094950	267	190	207	218	264	278
EgrG_000095000	1149	998	914	832	1023	1072
EgrG_000095100	536	431	492	472	607	639
EgrG_000095150	240	189	285	234	401	430
EgrG_000095200	127	96	224	151	112	117
EgrG_000095300	960	817	593	501	896	1027
EgrG_000095400	149	109	138	139	238	285
EgrG_000095500	1151	969	644	558	926	1017
EgrG_000095700	850	708	424	388	718	705
EgrG_000095800	65	84	45	34	88	65
EgrG_000095850	34	31	17	22	22	38
EgrG_000095900	674	590	562	453	575	605
EgrG_000096000	301	260	119	130	237	278
EgrG_000096100	1781	1535	1226	1095	1756	1853
EgrG_000096200	11	12	13	12	5	11
EgrG_000096300	674	553	507	436	607	634
EgrG_000096400	5	4	2	4	7	3
EgrG_000096500	0	2	3	4	2	3
EgrG_000096600	10464	9055	7180	6312	4916	5187
EgrG_000096700	166	112	108	81	81	89
EgrG_000096800	10	8	5	10	13	23
EgrG_000096900	1110	1025	488	430	797	828
EgrG_000097000	324	244	364	320	293	319
EgrG_000097100	0	0	0	0	0	0
EgrG_000097200	301	252	119	115	211	182
EgrG_000097300	4824	4093	4512	3992	4236	4323
EgrG_000097400	62	49	47	19	81	79
EgrG_000097500	8	5	11	12	15	19
EgrG_000097600	360	286	465	321	306	321
EgrG_000097700	162	135	141	136	253	239
EgrG_000097800	2023	1718	954	882	1354	1345
EgrG_000097900	236	208	241	208	322	324
EgrG_000098000	44	25	26	15	40	35
EgrG_000098100	869	760	1105	934	793	911
EgrG_000098200	0	0	0	1	0	0
EgrG_000098300	0	1	0	0	0	0
EgrG_000098400	2382	2068	1900	1586	2743	2911
EgrG_000098600	39	28	8	10	19	21
EgrG_000098700	140	129	102	83	179	178
EgrG_000098800	233	201	188	161	196	208
EgrG_000098900	126	110	80	60	131	135
